Step,Reward,Action,Link_Cost,Decision_Type
1,-50.00,42,0.50,RL
2,40.00,13,0.50,RL
3,40.00,11,0.50,RL
4,40.00,13,0.50,RL
5,60.00,30,0.20,RL
6,-50.00,31,0.20,RL
7,60.00,46,0.20,RL
8,-100.00,49,1.00,RL
9,-100.00,49,1.00,RL
10,-100.00,49,1.00,RL
11,-100.00,49,1.00,RL
12,-100.00,49,1.00,RL
13,-100.00,49,1.00,RL
14,-100.00,49,1.00,RL
15,-100.00,49,1.00,RL
16,-100.00,49,1.00,RL
17,-100.00,49,1.00,RL
18,-100.00,49,1.00,RL
19,-100.00,49,1.00,RL
20,-100.00,49,1.00,RL
21,-100.00,49,1.00,RL
22,-100.00,49,1.00,RL
23,-100.00,49,1.00,RL
24,-100.00,49,1.00,RL
25,-100.00,49,1.00,RL
26,-100.00,49,1.00,RL
27,-100.00,49,1.00,RL
28,-100.00,49,1.00,RL
29,-100.00,49,1.00,RL
30,-100.00,49,1.00,RL
31,-100.00,49,1.00,RL
32,-100.00,49,1.00,RL
33,-100.00,49,1.00,RL
34,-100.00,49,1.00,RL
35,-100.00,49,1.00,RL
36,-100.00,49,1.00,RL
37,-100.00,49,1.00,RL
38,-100.00,49,1.00,RL
39,-100.00,49,1.00,RL
40,-100.00,49,1.00,RL
41,-100.00,49,1.00,RL
42,-100.00,49,1.00,RL
43,-100.00,49,1.00,RL
44,-100.00,49,1.00,RL
45,-100.00,49,1.00,RL
46,-100.00,49,1.00,RL
47,-100.00,49,1.00,RL
48,-100.00,49,1.00,RL
49,-100.00,49,1.00,RL
50,-100.00,49,1.00,RL
51,-100.00,49,1.00,RL
52,-100.00,49,1.00,RL
53,-100.00,49,1.00,RL
54,-100.00,49,1.00,RL
55,-100.00,49,1.00,RL
56,-100.00,49,1.00,RL
57,-100.00,49,1.00,RL
58,-100.00,49,1.00,RL
59,-100.00,49,1.00,RL
60,-100.00,49,1.00,RL
61,-100.00,49,1.00,RL
62,-100.00,49,1.00,RL
63,-100.00,49,1.00,RL
64,-100.00,49,1.00,RL
65,-100.00,49,1.00,RL
66,-100.00,49,1.00,RL
67,-100.00,49,1.00,RL
68,-100.00,49,1.00,RL
69,-100.00,49,1.00,RL
70,-100.00,49,1.00,RL
71,-100.00,49,1.00,RL
72,-100.00,49,1.00,RL
73,-100.00,49,1.00,RL
74,-100.00,49,1.00,RL
75,-100.00,49,1.00,RL
76,-100.00,49,1.00,RL
77,-100.00,49,1.00,RL
78,-100.00,49,1.00,RL
79,-100.00,49,1.00,RL
80,-100.00,49,1.00,RL
81,-100.00,49,1.00,RL
82,-100.00,49,1.00,RL
83,-100.00,49,1.00,RL
84,-100.00,49,1.00,RL
85,-100.00,49,1.00,RL
86,-100.00,49,1.00,RL
87,-100.00,49,1.00,RL
88,-100.00,49,1.00,RL
89,-100.00,49,1.00,RL
90,-100.00,49,1.00,RL
91,-100.00,49,1.00,RL
92,-100.00,49,1.00,RL
93,-100.00,49,1.00,RL
94,-100.00,49,1.00,RL
95,-100.00,49,1.00,RL
96,-100.00,49,1.00,RL
97,-100.00,49,1.00,RL
98,-100.00,49,1.00,RL
99,-100.00,49,1.00,RL
100,-100.00,49,1.00,RL
101,-100.00,49,1.00,RL
102,-100.00,49,1.00,RL
103,-100.00,49,1.00,RL
104,-100.00,49,1.00,RL
105,-100.00,49,1.00,RL
106,-100.00,49,1.00,RL
107,-100.00,49,1.00,RL
108,-100.00,49,1.00,RL
109,-100.00,49,1.00,RL
110,-100.00,49,1.00,RL
111,-100.00,49,1.00,RL
112,-100.00,49,1.00,RL
113,-100.00,49,1.00,RL
114,-100.00,49,1.00,RL
115,-100.00,49,1.00,RL
116,-100.00,49,1.00,RL
117,-100.00,49,1.00,RL
118,-100.00,49,1.00,RL
119,-100.00,49,1.00,RL
120,-100.00,49,1.00,RL
121,-100.00,49,1.00,RL
122,-100.00,49,1.00,RL
123,-100.00,49,1.00,RL
124,-100.00,49,1.00,RL
125,-100.00,49,1.00,RL
126,-100.00,49,1.00,RL
127,-100.00,49,1.00,RL
128,-100.00,49,1.00,RL
129,-100.00,49,1.00,RL
130,-100.00,49,1.00,RL
131,-100.00,49,1.00,RL
132,-100.00,49,1.00,RL
133,-100.00,49,1.00,RL
134,-100.00,49,1.00,RL
135,-100.00,49,1.00,RL
136,-100.00,49,1.00,RL
137,-100.00,49,1.00,RL
138,-100.00,49,1.00,RL
139,-100.00,49,1.00,RL
140,-100.00,49,1.00,RL
141,-100.00,49,1.00,RL
142,-100.00,49,1.00,RL
143,-100.00,49,1.00,RL
144,-100.00,49,1.00,RL
145,-100.00,49,1.00,RL
146,-100.00,49,1.00,RL
147,-100.00,49,1.00,RL
148,-100.00,49,1.00,RL
149,-100.00,49,1.00,RL
150,-100.00,49,1.00,RL
151,-100.00,49,1.00,RL
152,-100.00,49,1.00,RL
153,-100.00,49,1.00,RL
154,-100.00,49,1.00,RL
155,-100.00,49,1.00,RL
156,-100.00,49,1.00,RL
157,-100.00,49,1.00,RL
158,-100.00,49,1.00,RL
159,-100.00,49,1.00,RL
160,-100.00,49,1.00,RL
161,-100.00,49,1.00,RL
162,-100.00,49,1.00,RL
163,-100.00,49,1.00,RL
164,-100.00,49,1.00,RL
165,-100.00,49,1.00,RL
166,-100.00,49,1.00,RL
167,-100.00,49,1.00,RL
168,-100.00,49,1.00,RL
169,-100.00,49,1.00,RL
170,-100.00,49,1.00,RL
171,-100.00,49,1.00,RL
172,-100.00,49,1.00,RL
173,-100.00,49,1.00,RL
174,-100.00,49,1.00,RL
175,-100.00,49,1.00,RL
176,-100.00,49,1.00,RL
177,-100.00,49,1.00,RL
178,-100.00,49,1.00,RL
179,-100.00,49,1.00,RL
180,-100.00,49,1.00,RL
181,-100.00,49,1.00,RL
182,-100.00,49,1.00,RL
183,-100.00,49,1.00,RL
184,-100.00,49,1.00,RL
185,-100.00,49,1.00,RL
186,-100.00,49,1.00,RL
187,-100.00,49,1.00,RL
188,-100.00,49,1.00,RL
189,-100.00,49,1.00,RL
190,-100.00,49,1.00,RL
191,-100.00,49,1.00,RL
192,-100.00,49,1.00,RL
193,-100.00,49,1.00,RL
194,-100.00,49,1.00,RL
195,-100.00,49,1.00,RL
196,-100.00,49,1.00,RL
197,-100.00,49,1.00,RL
198,-100.00,49,1.00,RL
199,-100.00,49,1.00,RL
200,-100.00,49,1.00,RL
201,-100.00,49,1.00,RL
202,-100.00,49,1.00,RL
203,-100.00,49,1.00,RL
204,-100.00,49,1.00,RL
205,-100.00,49,1.00,RL
206,-100.00,49,1.00,RL
207,-100.00,49,1.00,RL
208,-100.00,49,1.00,RL
209,-100.00,49,1.00,RL
210,-100.00,49,1.00,RL
211,-100.00,49,1.00,RL
212,-100.00,49,1.00,RL
213,-100.00,49,1.00,RL
214,-100.00,49,1.00,RL
215,-100.00,49,1.00,RL
216,-100.00,49,1.00,RL
217,-100.00,49,1.00,RL
218,-100.00,49,1.00,RL
219,-100.00,49,1.00,RL
220,-100.00,49,1.00,RL
221,-100.00,49,1.00,RL
222,-100.00,49,1.00,RL
223,-100.00,49,1.00,RL
224,-100.00,49,1.00,RL
225,-100.00,49,1.00,RL
226,-100.00,49,1.00,RL
227,-100.00,49,1.00,RL
228,-100.00,49,1.00,RL
229,-100.00,49,1.00,RL
230,-100.00,49,1.00,RL
231,-100.00,49,1.00,RL
232,-100.00,49,1.00,RL
233,-100.00,49,1.00,RL
234,-100.00,49,1.00,RL
235,-100.00,49,1.00,RL
236,-100.00,49,1.00,RL
237,-100.00,49,1.00,RL
238,-100.00,49,1.00,RL
239,-100.00,49,1.00,RL
240,-100.00,49,1.00,RL
241,-100.00,49,1.00,RL
242,-100.00,49,1.00,RL
243,-100.00,49,1.00,RL
244,-100.00,49,1.00,RL
245,-100.00,49,1.00,RL
246,-100.00,49,1.00,RL
247,-100.00,49,1.00,RL
248,-100.00,49,1.00,RL
249,-100.00,49,1.00,RL
250,-100.00,49,1.00,RL
251,-100.00,49,1.00,RL
252,-100.00,49,1.00,RL
253,-100.00,49,1.00,RL
254,-100.00,49,1.00,RL
255,-100.00,49,1.00,RL
256,-100.00,49,1.00,RL
257,-100.00,49,1.00,RL
258,-100.00,49,1.00,RL
259,-100.00,49,1.00,RL
260,-100.00,49,1.00,RL
261,-100.00,49,1.00,RL
